Date,BZ=F,CC=F,CL=F,CT=F,GC=F,GF=F,HE=F,HG=F,HO=F,KC=F,KE=F,LBR=F,LE=F,NG=F,OJ=F,PA=F,PL=F,RB=F,SB=F,SI=F,ZC=F,ZL=F,ZM=F,ZO=F,ZR=F,ZS=F,ZW=F
2025-12-08,62.4900016784668,5648.0,58.880001068115234,61.880001068115234,4187.2001953125,335.6499938964844,82.30000305175781,5.364500045776367,2.2981998920440674,396.0499877929688,521.0,547.0,227.3249969482422,4.912000179290772,153.10000610351562,1483.5999755859375,1655.0,1.7980999946594238,14.81999969482422,57.77899932861328,436.25,50.900001525878906,303.6000061035156,287.5,10.145000457763672,1093.75,536.0
2025-12-09,61.93999862670898,5829.0,58.25,63.86000061035156,4206.7001953125,335.5,82.5,5.240499973297119,2.2600998878479004,394.2000122070313,520.25,550.0,226.8249969482422,4.573999881744385,153.5,1511.4000244140625,1695.0999755859375,1.7897000312805176,14.670000076293944,60.16899871826172,440.75,50.72999954223633,298.20001220703125,288.75,10.095000267028809,1087.25,536.25
2025-12-10,62.209999084472656,6168.0,58.459999084472656,64.12000274658203,4196.39990234375,338.375,82.44999694824219,5.2754998207092285,2.2730000019073486,400.7999877929688,516.5,551.5,226.8000030517578,4.59499979019165,148.75,1458.300048828125,1641.800048828125,1.781499981880188,14.90999984741211,60.37900161743164,434.75,50.810001373291016,298.20001220703125,280.5,9.9350004196167,1091.25,531.25
2025-12-11,61.27999877929688,6235.0,57.59999847412109,63.970001220703125,4285.5,343.3999938964844,83.4000015258789,5.427000045776367,2.228899955749512,405.4500122070313,515.5,556.5,230.375,4.230999946594238,153.14999389648438,1512.699951171875,1707.800048828125,1.7597999572753906,14.850000381469728,63.92900085449219,435.25,50.560001373291016,298.79998779296875,279.25,9.824999809265137,1093.5,534.5
2025-12-12,61.119998931884766,6226.0,57.43999862670898,63.83000183105469,4300.10009765625,339.1000061035156,83.32499694824219,5.2835001945495605,2.197999954223633,397.2000122070313,498.75,558.0,229.8000030517578,4.11299991607666,163.14999389648438,1514.199951171875,1757.0999755859375,1.7520999908447266,15.100000381469728,61.36199951171875,431.5,49.72999954223633,300.6000061035156,279.25,9.859999656677246,1076.75,534.5
2025-12-15,60.560001373291016,5823.0,56.81999969482422,63.93999862670898,4306.7001953125,339.92498779296875,83.8499984741211,5.338500022888184,2.1805999279022217,387.7000122070313,512.0,558.5,230.8249969482422,4.01200008392334,166.14999389648438,1592.800048828125,1810.5,1.732300043106079,14.949999809265137,62.93999862670898,439.75,49.47999954223633,303.5,281.0,9.75,1071.75,520.75
2025-12-16,58.91999816894531,5998.0,55.27000045776367,63.09999847412109,4304.5,343.32501220703125,84.7750015258789,5.287000179290772,2.1285998821258545,379.2999877929688,505.0,563.5,231.1499938964844,3.885999917984009,168.0,1626.5999755859375,1870.0999755859373,1.680899977684021,14.81999969482422,62.70000076293945,436.5,48.36000061035156,302.3999938964844,277.25,9.494999885559082,1062.75,509.5
2025-12-17,59.68000030517578,5978.0,55.93999862670898,63.43000030517578,4347.5,341.5249938964844,83.0,5.363500118255615,2.149499893188477,351.8999938964844,507.75,565.0,230.3000030517578,4.02400016784668,169.75,1684.199951171875,1932.699951171875,1.6943000555038452,14.760000228881836,66.23699951171875,440.5,48.52000045776367,298.20001220703125,286.75,9.380000114440918,1058.25,506.25
2025-12-18,59.81999969482422,5934.0,56.150001525878906,63.5099983215332,4339.5,340.2749938964844,84.125,5.366499900817871,2.131599903106689,345.45001220703125,517.0,557.0,228.4250030517578,3.9079999923706055,178.10000610351562,1737.9000244140625,1955.5,1.701300024986267,14.479999542236328,64.59200286865234,444.5,48.11000061035156,298.3999938964844,297.25,9.574999809265137,1052.25,507.75
2025-12-19,60.470001220703125,5845.0,56.65999984741211,63.75,4361.39990234375,345.6000061035156,84.5,5.439499855041504,2.121900081634521,340.6499938964844,515.25,557.0,230.3999938964844,3.983999967575073,198.1000061035156,1749.0,2013.199951171875,1.708199977874756,14.81999969482422,66.84500122070312,443.75,47.900001525878906,297.6000061035156,298.0,9.78499984741211,1049.25,509.75
